text,intent;
I am still waiting on my card?,card_arrival;
What can I do if my card still hasnt arrived after 2 weeks?,card_arrival;
I have been waiting over a week. Is the card still coming?,card_arrival;
Can I track my card while it is in the process of delivery?,card_arrival;
How do I know if I will get my card\, or if it is lost?,card_arrival;
When did you send me my new card?,card_arrival;
Do you have info about the card on delivery?,card_arrival;
What do I do if I still have not received my new card?,card_arrival;
Does the package with my card have tracking?,card_arrival;
I ordered my card but it still isnt here,card_arrival;
Why has my new card still not come?,card_arrival;
I still havent received my card after two weeks\, is it lost?,card_arrival;
Can you track my card for me?,card_arrival;
Is there a way to track the delivery of my card?,card_arrival;
Its been a week since I ordered my card and its not here. Please help?,card_arrival;
Will I be able to track the card that was sent to me?,card_arrival;
I dont have my card in 1 week.  Should I be worried?,card_arrival;
How do I know when my new card is going to arrive?,card_arrival;
My new card has not been delivered to my home yet. What is going on?,card_arrival;
Its been a week since you issued me a card and I still didnt get it. Should I keep waiting?,card_arrival;
On the card that is coming\, whats the tracking info?,card_arrival;
What is the status of my cards delivery?,card_arrival;
Have you sent out my card yet?,card_arrival;
My card isnt here yet.,card_arrival;
where is my new card?,card_arrival;
Its been a week since you sent my card and I still dont have it.,card_arrival;
How do I track the card you sent me?,card_arrival;
When will I recieve my new card?,card_arrival;
When will I get my new card?,card_arrival;
What is the expected delivery date for my card?,card_arrival;
Is there a tracking number for the card you sent me?,card_arrival;
I would like to track the card you sent to me.,card_arrival;
Has my card been lost in delivery?,card_arrival;
My new card hasnt came in.,card_arrival;
Where is the card I ordered 2 weeks ago?,card_arrival;
Can I get an update on my replacement card?,card_arrival;
How long does it take for a new card to ship?,card_arrival;
Whats the tracking on the card you sent?,card_arrival;
I havent received my card and am worried it is lost.,card_arrival;
My card still hasnt been delivered,card_arrival;
I need to find out where the card is that I ordered.,card_arrival;
Where is my credit card that was to be mailed?,card_arrival;
I ordered my card but it hasnt been delivered yet,card_arrival;
Am I able to track the card that was just sent to me?,card_arrival;
Can you tell me why I havent received my new card?,card_arrival;
Im still waiting for my new card.,card_arrival;
Is my card lost? I am still waiting for it to be delivered.,card_arrival;
Should I keep waiting for my card to be delivered?,card_arrival;
Can I track when my card will be delivered?,card_arrival;
How can I check on the status of my new card?,card_arrival;
A card has been sent to me\, how do I track it?,card_arrival;
Is there a way I can get my card expedited?,card_arrival;
What can I do to track the card you sent me?,card_arrival;
why hasnt my card come in yet?,card_arrival;
How can I periodically check the delivery of the card you sent?,card_arrival;
Whats the reason my new card hasnt come?,card_arrival;
How long does it take for me to get my new card?,card_arrival;
I dont have my card after 1 week. What are my next steps?,card_arrival;
I know Im getting a new card but would like know when I can expect to receive it.,card_arrival;
I want to find out what happened to my new card?,card_arrival;
Was there a way for me to get tracking for that?,card_arrival;
I am still waiting for my card.,card_arrival;
My card hasnt arrived.,card_arrival;
Can I track the card you sent to me?,card_arrival;
I havent gotten my new card.,card_arrival;
How long should it take for my new card to arrive in them mail? What should I do if I never receive it?,card_arrival;
Will I have to wait much longer for my new card to arrive?,card_arrival;
how to track the card you sent,card_arrival;
2 weeks ago I ordered my new card.  It isnt here.  What should I do?,card_arrival;
How can I check on the delivery status of my card?,card_arrival;
My card has not been delivered yet and its been a week since I ordered it\, please help,card_arrival;
Whats the expected wait time to recieve my new card?,card_arrival;
How can I see the progress of delivery of the card that was sent?,card_arrival;
My card was supposed to arrive\, but hasnt?,card_arrival;
I ordered a card and would like to know how to track the delivery progress of it.,card_arrival;
How long will it take for me to get my card?,card_arrival;
My card hasnt shown up yet.,card_arrival;
Does the card you sent have a tracking number?,card_arrival;
My card hasnt arrived in the mail yet. I ordered it two weeks ago. What can I do?,card_arrival;
maximum how many days get the courier?,card_arrival;
Is there a reason my new card hasnt arrived yet?,card_arrival;
Ive been waiting a while for my card\, is there a way to know when it will arrive?,card_arrival;
How can I track my cards delivery?,card_arrival;
Can I track the card that was just sent to me?,card_arrival;
If I ordered my new card last week\, how much longer should I wait to receive it?,card_arrival;
Whats go on\, where is my new card?,card_arrival;
Where is my new card if I havent received it yet?,card_arrival;
Where is my card?,card_arrival;
Can you tell me why I havent received my new card yet?,card_arrival;
Is there a way to track my card?,card_arrival;
Is there a way to track the new card you sent me?,card_arrival;
Im still waiting for my card.,card_arrival;
What do I need to do to get my new card which I have requested 2 weeks ago?,card_arrival;
WHAT IS THE SOLUTION OF THIS PROBLEM,card_arrival;
Could I get tracking on the card?,card_arrival;
Can you help me track my card?,card_arrival;
Shouldnt my new card be here by now?,card_arrival;
Is there a reason my new card hasnt arrived?,card_arrival;
I would like to track a card sent to me\, how do I do that?,card_arrival;
Is there a tracking number for the card?,card_arrival;
can you share card tracking number?,card_arrival;
I have not received my card and its been a week\, what do I do?,card_arrival;
Is there a way I can check on the card on route to me?,card_arrival;
When will my new card arrive?,card_arrival;
Why havent I received my new card yet?,card_arrival;
What is the expected delivery date of my card?,card_arrival;
My card hasnt came in the mail yet?,card_arrival;
I havent received my card.,card_arrival;
Is it possible for me to track the card is was mailed to me?,card_arrival;
When will my new card be delivered?,card_arrival;
I was issued a card about a week ago. why hasnt it come in yet?,card_arrival;
Can you please tell me where my card is? I ordered it 2 weeks ago!,card_arrival;
I still havent received my card in the mail,card_arrival;
Im still waiting for my card that was issued a week ago. What should I do?,card_arrival;
I still havent gotten my new card.  When will it get here?,card_arrival;
Do you have a tracking number for the card I was sent?,card_arrival;
How do I track the card you sent to me?,card_arrival;
Is my new bank card on the way and is there a way to track it?,card_arrival;
Could you send me and up date on the arrival of my card?,card_arrival;
How long does it take to recieve my new card?,card_arrival;
My card has not come in the mail yet.,card_arrival;
Whats the card you sent mes tracking number?,card_arrival;
i havent got my card,card_arrival;
Why hasnt my card arrived yet?,card_arrival;
I thought I would have received my new card at this point.,card_arrival;
How long until my new card gets here?,card_arrival;
How much longer until I get my new card?,card_arrival;
Am I able to track a card that has already been sent?,card_arrival;
Is it possible to track the card you sent me?,card_arrival;
How long will it be to get this new card?,card_arrival;
how can i track card you sent,card_arrival;
Can the card was sen to me be tracked?,card_arrival;
why have i not got my new card?,card_arrival;
I need to track the card sent to me.,card_arrival;
Its been two weeks and I havent gotten my card\, what do I do?,card_arrival;
I was expecting my new card by now.,card_arrival;
Where is the tracking number for the card?,card_arrival;
I was issued a new card a week ago but still havent received it. How long will it be until I receive it?,card_arrival;
Can I track the card that you sent me in the mail?,card_arrival;
Can you tell me if I can track the card you sent me?,card_arrival;
Why have I not gotten my new card?,card_arrival;
Im still waiting on my new card to be delivered!,card_arrival;
My new card isnt here and it was issued a week ago.,card_arrival;
I was supposed to receive my new card by now\, but it hasnt came in.,card_arrival;
Is a tracking number available for the card that was just sent?,card_arrival;
Why havent I gotten my new card?,card_arrival;
Was there a number to track that I could get?,card_arrival;
How much longer is it going to take to get my new card?,card_arrival;
I havent gotten my credit card in the mail.,card_arrival;
My card hasnt arrived yet. What do I do?,card_arrival;
My card still hasnt arrived after two weeks\, now what?,card_arrival;
My card appears to have never arrived?,card_arrival;
My card never arrived.,card_arrival;
My card has been found. Is there any way for me to put it back into the app?,card_linking;
I was able to find my card. How to I go about putting it into my app?,card_linking;
how do I get my card to show in the app?,card_linking;
I just got my card.  Its not linked yet--how do I do that?,card_linking;
lost card found\, want to put it back in app,card_linking;
I just got a card\, how can I add it to the app?,card_linking;
Is there any way to see my card in the app?,card_linking;
If I find a card I lost do I need to dispose of it? Or can I re-active the card and continue to use it?,card_linking;
I found my card. How can I put it into my app?,card_linking;
How do I make my card show up in the app?,card_linking;
Can you show me where to link the new card?,card_linking;
I found my old card. Can I link it back into the app?,card_linking;
Show me how to link the new card\,,card_linking;
How do I add an existing card to the app?,card_linking;
I finally got my card.  Now I want to link it.  Is that something you have to do or can I do that?,card_linking;
How do I link one of your card that I already have?,card_linking;
If I have a physical card can I link it?,card_linking;
I found my lost card in my jacket pocket this morning so Id like to reactivate it please.,card_linking;
Can I add a card that I just found (again) to the app?,card_linking;
How can I make my card show up in the app?,card_linking;
I would like to re-activate my card\, it was previously reported  lost but I found it this morning.,card_linking;
Okay\, I found my card\, can I put it back in the app?,card_linking;
Can I reactivate a card?,card_linking;
I would like to reactivate a card and wondered if that could be done?,card_linking;
I got my card now\, how do I make it show up in the app?,card_linking;
How do I link an existing card?,card_linking;
How do I link a new card in the app?,card_linking;
The card I thought was lost was just in my jacket\, so can I reactivate it since I found it this morning?,card_linking;
I already have a card and want to link it,card_linking;
Can you please reactivate my card?,card_linking;
Where do I go to add a new card?,card_linking;
I want my card I just received to show up in the app. How do I do that?,card_linking;
I received my card\, how do I get it to show in the app?,card_linking;
If I have a credit card with you how I get set up to link to it?,card_linking;
How do I add my new card?,card_linking;
I want to reactivate my card\, I thought I had lost it but found it again this morning.,card_linking;
I need a card reactivation\, I had reported my card lost but I ran across it in my jacket.,card_linking;
My card is no longer lost. How do I enter it back into the app?,card_linking;
I want to reactivate my card\, I thought I had lost it but found it again in my jacket.,card_linking;
May I reactivate my card? I previously reported it lost\, but have now found it safe and sound.,card_linking;
How do I reactivate a card I thought I lost?,card_linking;
Help me figure out how to link the new card.,card_linking;
I found my lost card. Am I still able to use it?,card_linking;
Will I need a new card or can I put my old card back into the app?,card_linking;
Is there a way to link the card i just got?,card_linking;
How do I add a new card?,card_linking;
I want to reactivate my card\, I found it after thinking it was lost.,card_linking;
Can I put my old card back in the app?,card_linking;
I got a new card\, how do I link it?,card_linking;
I found the card I thought I lost this morning. Can I reactivate this card?,card_linking;
How do i go about linking a new card?,card_linking;
how do i get the card linked,card_linking;
I have one of your cards\, but I dont know how to link it.,card_linking;
how do I link an old card?,card_linking;
I received my card. How do I link it to the app?,card_linking;
Now that I have my card\, how do I connect it to the app?,card_linking;
How do I add the card I just received to show up in the app?,card_linking;
I want to reactivate my card\, I thought I had lost it but I found it.,card_linking;
What do I need to do to link my new card for my account?,card_linking;
Can I add a card to back into the app?,card_linking;
I want to link my new card. Can you help?,card_linking;
What is the process to link the new card?,card_linking;
I found my card\, am I able to put it back into the app?,card_linking;
I have found my lost or stolen card\, would I still have to activate the new card that was sent to me through the mail in order to access my account?,card_linking;
Where can I link a new card?,card_linking;
How do I add a card on to the app?,card_linking;
I found my card in my jacket this morning\, so can I reactivate it?,card_linking;
Ive obtained the card\, how do I enable it on the app?,card_linking;
I need to find the card I received in the app.,card_linking;
How do I get my card on the app?,card_linking;
In the app\, how can I make it show the new card that arrived?,card_linking;
How do I link my new card?,card_linking;
Can I activate a card in the app?,card_linking;
I want to link to my card card with you\, how?,card_linking;
I would like to link my card to my account.,card_linking;
I thought I lost my card so I cancelled it\, but recently I found it in my jacket and I would like to re-establish the card.,card_linking;
How can I link the new card?,card_linking;
I got a new card and cant find where to link it.,card_linking;
Hey\, I have my card\, how do I get it to show in the app?,card_linking;
Where in the app do I go to make my new card show up?,card_linking;
Where do I scan my card?,card_linking;
Can I reactivate my card? I reported it lost and found it this morning in my jacket.,card_linking;
Can I link my card I previously received?,card_linking;
I want to reactivate my card\, I thought I had lost it but found it again in my jacket this morning.,card_linking;
Id lke my card reactivated\, I was thinking it was misplaced but I discovered when I woke up that I had left it in my coat.,card_linking;
You sent me a card and now I want to link it.,card_linking;
How do I add my new card to the app?,card_linking;
Can I add a card back to the app?,card_linking;
What if I want to add a card I already have to the app?,card_linking;
I recently reported my card as missing/lost\, and I just found it. Can I still use it?,card_linking;
Could I reactivate my card please\, I couldnt find it but it turns out it was in my jacket pocket.,card_linking;
Is there a way to link cards if I have one of yours?,card_linking;
If my card was lost or stolen can I re-link it?,card_linking;
How do I link a new card to an existing one?,card_linking;
How do I link a new payment card?,card_linking;
I would like to reactivate my card that I previously reported lost. I located the card this morning.,card_linking;
Card has been received\, how will it show up on the app?,card_linking;
Can I re-link a lost card with the app?,card_linking;
What do I do to link my new card?,card_linking;
Is it possible to link a new card?,card_linking;
I deactivated my card but would like to reactivate it.,card_linking;
I found my card that I thought I had lost\, I need to reactive it\, please help.,card_linking;
can I link a card of yours I already have?,card_linking;
Can I put my found card back into the app on my phone?,card_linking;
My card arrived but I need to make it work in the app\, how do I do that?,card_linking;
I found the card that I thought I lost\, and I would like to reactivate it.,card_linking;
I found my card again. Can I put it back into the app?,card_linking;
I need some help linking my new card.,card_linking;
help me link my card,card_linking;
How do I link my card in the app.,card_linking;
How do I get my card into the app?,card_linking;
I found my card! Can I link it back into the app?,card_linking;
How do I reactivate my card?,card_linking;
Where do I go to get my new card linked?,card_linking;
I thought I lost my card but I found it today\, so I would like to reactivate it.,card_linking;
How do I link the new card that I just got from you guys?,card_linking;
How can I add a new card?,card_linking;
Can you tell me how to get my card on the app?,card_linking;
Is it possible to reactivate the card I thought I lost but found this morning in my jacket?,card_linking;
How do I make my card appear on the app?,card_linking;
How do I link the new card?,card_linking;
Where in the app do I link a new card?,card_linking;
How do I add my card to the app once I get it?,card_linking;
Can I link your physical card,card_linking;
How do I activate and link my new card?,card_linking;
I got a card\, how do I get it in the app?,card_linking;
I received my new card.  Where is it in the app?,card_linking;
I found my card\, how can I use it again?,card_linking;
I just received a new card\, where do I go to link it to my account?,card_linking;
found card\, how to put it back in app,card_linking;
How do I see my card in the app?,card_linking;
The card I thought I lost was in my jacket pocket this morning\, so can I reactivate that?,card_linking;
I dont see my card anywhere in the app.,card_linking;
I received my card\, how do I get it to work in the app?,card_linking;
What do I do if I already had a card with you guys?,card_linking;
if i found a lost card can i put it back in app,card_linking;
I have a card that was deactivated can I reactivate it?,card_linking;
My new card isnt in my app\, how do I get it in there?,card_linking;
Help me access the card I already got so I can information from it.,card_linking;
What is my money worth in other countries?,exchange_rate;
Will my money be of equal value when I travel abroad?,exchange_rate;
Do you know the rate of exchange?,exchange_rate;
What foreign exchange rate will I get on weekdays and on the weekends?,exchange_rate;
What is the exchange looking like?,exchange_rate;
How is the exchange rate doing?,exchange_rate;
I would like to know how exchange rates are calculated when transferring funds.,exchange_rate;
I would like to know what exchange rates you use?,exchange_rate;
If I need to cash foreign transfers\, how does that work?,exchange_rate;
Do you know what your exchange rates are?,exchange_rate;
How do I know what exchange rate I will get?,exchange_rate;
What are you exchange rates?,exchange_rate;
Do you have the best exchange rate?,exchange_rate;
Where can I find your exchange rates?,exchange_rate;
Your exchange rates come from where?,exchange_rate;
I need to know what your exchange rates are.,exchange_rate;
Whats the process for exchanges?,exchange_rate;
What do you think of the exchange rate?,exchange_rate;
How are exchange rates calculated at this bank?,exchange_rate;
What do you use to figure out the exchange rate for the card?,exchange_rate;
Whats the foreign exchange rate I will receive?,exchange_rate;
I need to know what foreign exchange rate I can get.,exchange_rate;
What are the current exchange rates?,exchange_rate;
What exchange rate will I receive?,exchange_rate;
What is the basis of your exchange rates?,exchange_rate;
Hows the exchange rate?,exchange_rate;
How do you determine your exchange rates?,exchange_rate;
How do the foreign exchange rates work?,exchange_rate;
Where are you getting your exchange rates from?,exchange_rate;
How is the exchange rate calculated?,exchange_rate;
Im interested in what your exchange rates are based on.,exchange_rate;
How do you decide what the exchange rates are?,exchange_rate;
What is the current exchange rate?,exchange_rate;
What is the formula for your exchange rate?,exchange_rate;
What method do you use for the exchange rate?,exchange_rate;
What are Interbanks current exchange rates?,exchange_rate;
from where are coming your exchange rates?,exchange_rate;
How do you calculate exchange rates?,exchange_rate;
Why is your exchange rate different on different days?,exchange_rate;
Where can I find the exchange rate for my transfer?,exchange_rate;
Where can I get your exchange rates from?,exchange_rate;
How do you find the exchange rate?,exchange_rate;
How are exchange rates determined?,exchange_rate;
What value can I get for my currency?,exchange_rate;
Please explain your exchange rate policy.,exchange_rate;
What are your exchange rates calculated from?,exchange_rate;
What is an exchange rate?,exchange_rate;
What is your opinion on the exchange rate?,exchange_rate;
What are the exchange rates you assign?,exchange_rate;
How do you determine exchange rates?,exchange_rate;
How are your exchange rates calculated?,exchange_rate;
How is an exchange rate calculated?,exchange_rate;
When exchanging\, how much are the rates?,exchange_rate;
What is the exchange rate for EUR?,exchange_rate;
How can I find your exchange rates?,exchange_rate;
Could you please tell me your exchange rates?,exchange_rate;
Is there an exchange rate?,exchange_rate;
How does the exchange rate work?,exchange_rate;
What is the present state of the exchange rate?,exchange_rate;
How are foreign exchange rates determined?,exchange_rate;
Hows the exchange rate looking right now?,exchange_rate;
Please explain the exchange rates.,exchange_rate;
What is the foreign exchange rate you will apply?,exchange_rate;
explain the interbank exchange rate,exchange_rate;
What will my exchange rate be?,exchange_rate;
how do you get exchange rates,exchange_rate;
What exchange rates do you use?,exchange_rate;
How will I know what the exchange rate is?,exchange_rate;
What factors effect the exchange rate?,exchange_rate;
Where does the exchange rate stand right now?,exchange_rate;
Id like to know what the foreign exchange rate will be.,exchange_rate;
Does the exchange rate change?,exchange_rate;
How do your exchange rates factor in?,exchange_rate;
Will I know which exchange rate I will get?,exchange_rate;
How do I know what the exchange rate will be when I make an exchange.,exchange_rate;
Is the exchange rate the same on weekends as the weekdays?,exchange_rate;
How do you do exchanges?,exchange_rate;
On what do you base your exchange rates?,exchange_rate;
How do you come up with your exchange rate,exchange_rate;
What factors determine your exchange rate?,exchange_rate;
How are the exchange rates determined?,exchange_rate;
I would like to know what your exchange rates are.,exchange_rate;
Is the exchange rate current?,exchange_rate;
What are the exchange rates?,exchange_rate;
How much are the rates of exchange?,exchange_rate;
How do you decide what your exchange rates are?,exchange_rate;
Your exchange rates are coming from where?,exchange_rate;
Is there a specific source that the exchange rate for the transfer Im planning on making is pulled from?,exchange_rate;
How are the exchange rates for transfers calculated?,exchange_rate;
How do I know how much money I will have when I travel abroad?,exchange_rate;
How do you do currency exchanges?,exchange_rate;
Can you explain your exchange rates basis?,exchange_rate;
How did you guys get your exchange rate?,exchange_rate;
Can you tell me your exchange rates?,exchange_rate;
Could you tell me what your exchange rates are?,exchange_rate;
Does this app have the same exchange rate as third parties?,exchange_rate;
what are your exchange rates at?,exchange_rate;
How is the current exchange rate?,exchange_rate;
What is the system for determining the exchange rate?,exchange_rate;
I am travelling and I was wondering what your exchange rates are,exchange_rate;
How can I tell what foreign exchange rate I will get?,exchange_rate;
Tell me your opinion on the exchange rate.,exchange_rate;
Id like to know what you guys look at to decide an exchange rate,exchange_rate;
How does the exchange rate work on this app?,exchange_rate;
where do you find your exchange rates?,exchange_rate;
I want to know your exchange rates.,exchange_rate;
What exchange rate is it?,exchange_rate;
What is the source of your exchange rates?,exchange_rate;
i need to know about exchange rates,exchange_rate;
Where do you get those exchange rates?,exchange_rate;
How do you determine the exchange rate?,exchange_rate;
What foreign exchange rate will I get?,exchange_rate;
Last Saturday\, I was charged extra for the exchange rate on my payment. Is something wrong?,card_payment_wrong_exchange_rate;
Hi\, I am disappointed to see such a bad exchange rate and hope you can assist me. Would you be able to confirm the official interbank exchange rate for me?,card_payment_wrong_exchange_rate;
I think the currency exchange thats been applied is wrong.,card_payment_wrong_exchange_rate;
The exchange rate I was charged for a purchase was not right.,card_payment_wrong_exchange_rate;
Can you please explain why the exchange rate for the item I bought is wrong?,card_payment_wrong_exchange_rate;
I think something went wrong with my exchange between Russian Ruble and UK pounds. I was overcharged during the swap.,card_payment_wrong_exchange_rate;
My payment has an incorrect exchange rate.,card_payment_wrong_exchange_rate;
my exchange rate looks wrong for my last payment,card_payment_wrong_exchange_rate;
The exchange rate you are using is bad.This cant be the official interbank exchange rate.,card_payment_wrong_exchange_rate;
I was charged the wing amount for an item.,card_payment_wrong_exchange_rate;
the exchange rate on my payment was wrong,card_payment_wrong_exchange_rate;
Why is the exchange rate terrible?  That cant be close to the actual interbank rate.,card_payment_wrong_exchange_rate;
An incorrect exchange rate was applied to an item I bought.,card_payment_wrong_exchange_rate;
The exchange rate was incorrect for an item I bought.,card_payment_wrong_exchange_rate;
The exchange rate on my payment doesnt look right,card_payment_wrong_exchange_rate;
I just saw the exchange rate you use\, but its so bad that I cant believe that its the official interbank exchange rate! Is this truly the official interbank exchange rate?,card_payment_wrong_exchange_rate;
This exchange rate you use is awful! Please tell me this is a mistake and not the official interbank exchange rate!,card_payment_wrong_exchange_rate;
After purchasing an item I noticed the exchange rate was incorrect.,card_payment_wrong_exchange_rate;
The amount of exchange was not correct for the item i bought.,card_payment_wrong_exchange_rate;
The exchange rate from my card payment isnt right.,card_payment_wrong_exchange_rate;
My exchange rate isnt correct.,card_payment_wrong_exchange_rate;
Why was the exchange rate so wrong when I bought something!,card_payment_wrong_exchange_rate;
My exchange rate was wrong for an Item I bought!,card_payment_wrong_exchange_rate;
I was using a foreign currecy to make a payment and the applied the wrong rate.,card_payment_wrong_exchange_rate;
The exchange rate was incorrect for this item I bought.,card_payment_wrong_exchange_rate;
